TOTAL   FW           IDS          ENCRYPT
5943631 77558.131459 40182.143192 459009.071541 
5933976 78639.063218 39724.482824 465087.055906 
5970029 76105.701962 40552.359507 458243.196310 
5940743 78354.503847 40191.553647 464273.890136 
5937970 78281.938753 40791.401529 463349.531904 
5948821 78355.067196 39825.531666 465430.498577 
6308169 75977.178934 40557.573882 458140.995852 
5926418 78399.797785 40177.947451 464826.962661 
6037848 78103.480817 40477.154754 464163.947212 
5901020 76224.625923 40361.520989 460197.893184 
6440220 76293.994186 40638.610722 458910.951171 
5991243 79260.584673 40099.624532 468145.444438 
5973731 76504.187711 40609.705544 459981.844647 
5957780 79478.233252 40197.914074 464577.262741 
5958196 79482.459029 40503.392112 465977.012666 
5949728 78265.343737 40182.124637 465891.746540 
5978234 79366.437263 40563.628562 468145.155256 
5974813 78260.302447 40213.557932 466302.858131 
5962623 79264.614461 40456.877183 467339.402385 
5958064 78797.798483 40487.160015 465595.522352 
5947396 79686.420715 40522.161618 466475.157648 
5981641 79753.232811 40039.592753 469197.133728 
5976981 79720.521983 40699.233021 470034.381398 
5971835 78869.053617 40558.209043 466717.108606 
5950301 80068.080554 40211.048013 467887.466539 
5951336 78414.204716 40468.533624 464959.701293 
6597630 79387.678327 40455.515919 466008.826207 
6061454 77403.006665 40680.257855 465988.111300 
5963431 77016.110598 40651.249234 460465.066392 
5944024 76662.067269 40709.449827 460401.981178 
6006974 79924.091977 40575.133475 468276.730517 
5942887 79526.381869 40229.357282 466659.334196 
6384758 79872.185517 40744.677856 466468.866992 
6599647 78727.483018 40462.737277 466383.364700 
5950215 79718.078764 40694.595004 468866.434064 
5928373 76177.492082 40677.401980 460649.119709 
5997954 78995.174287 40756.754112 467811.286671 
5959408 79707.928672 40507.002028 467497.782728 
5918776 78933.932873 40560.637359 465379.336973 
6350398 79408.539319 40189.566904 469582.063492 
